DATE-YMD,OTHR= SeaWinds Windspeed v-NS-component (m/s),
2009-10-15,      -6.741,
2009-11-15,      -5.187,
2009-12-15,      -3.818,
2010-01-15,      -3.628,
2010-02-15,      -1.962,
2010-03-15,      -7.621,
2010-04-15,      -6.985,
2010-05-15,      -8.278,
2010-06-15,      -8.013,
2010-07-15,      -6.243,
2010-08-15,      -6.227,
2010-09-15,      -6.855,
2010-10-15,      -6.265,
2010-11-15,      -3.255,
2010-12-15,      -4.756,
2011-01-15,      -2.837,
2011-02-15,      -5.310,
2011-03-15,      -7.783,
2011-04-15,      -6.825,
2011-05-15,      -7.367,
2011-06-15,      -7.451,
2011-07-15,      -8.435,
2011-08-15,      -7.077,
2011-09-15,      -8.721,
2011-10-15,      -3.199,
2011-11-15,      -4.929,
2011-12-15,      -2.791,
2012-01-15,      -2.544,
2012-02-15,      -6.659,
2012-03-15,      -3.385,
2012-04-15,      -7.842,
2012-05-15,      -7.990,
2012-06-15,      -7.729,
2012-07-15,      -6.235,
2012-08-15,      -2.676,
2012-09-15,      -5.107,
2012-10-15,      -6.482,
2012-11-15,      -6.248,
2012-12-15,      -2.433,
2013-01-15,      -4.619,
2013-02-15,      -4.953,
2013-03-15,      -6.539,
2013-04-15,      -7.025,
2013-05-15,      -7.998,
2013-06-15,      -8.330,
2013-07-15,      -7.364,
2013-08-15,      -4.548,
2013-09-15,      -5.778,
2013-10-15,      -7.585,
2013-11-15,      -4.090,
2013-12-15,      -5.090,
2014-01-15,      -4.486,
2014-02-15,      -6.356,
2014-03-15,      -6.234,
2014-04-15,      -5.848,
2014-05-15,      -7.713,
2014-06-15,      -8.452,
2014-07-15,      -8.172,
2014-08-15,      -5.684,
2014-09-15,      -5.008,
2014-10-15,      -5.641,
2014-11-15,      -4.401,
2014-12-15,      -3.368,
2015-01-15,      -5.282,
2015-02-15,      -6.471,
2015-03-15,      -6.015,
2015-04-15,      -8.888,
2015-05-15,      -6.947,
2015-06-15,      -7.825,
2015-07-15,      -3.531,
2015-08-15,      -6.366,
2015-09-15,      -6.130,
2015-10-15,      -5.206,
2015-11-15,      -4.007,
2015-12-15,      -1.577,
2016-01-15,      -2.218,
2016-02-15,      -4.985,
2016-03-15,      -7.404,
2016-04-15,      -7.116,
2016-05-15,      -6.744,
2016-06-15,      -5.876,
2016-07-15,      -5.605,
2016-08-15,      -4.243,
2016-09-15,      -5.484,
2016-10-15,      -5.342,
2016-11-15,      -4.588,
2016-12-15,      -4.079,
2017-01-15,      -1.703,
2017-02-15,      -5.707,
2017-03-15,      -7.597,
2017-04-15,      -6.575,
2017-05-15,      -7.333,
2017-06-15,      -5.351,
2017-07-15,      -6.156,
2017-08-15,      -2.547,
2017-09-15,      -8.451,
2017-10-15,      -4.593,
2017-11-15,      -5.740,
2017-12-15,      -3.115,
2018-01-15,      -3.879,
2018-02-15,      -7.669,
2018-03-15,      -7.015,
2018-04-15,      -8.478,
2018-05-15,      -9.782,
2018-06-15,      -8.454,
2018-07-15,      -6.147,
2018-08-15,      -6.126,
2018-09-15,      -3.932,
