DATE-YMD,OTHR= SeaWinds Windspeed u-EW-component (m/s),
2017-09-15,      -0.843,
2017-10-15,      -1.498,
2017-11-15,       1.600,
2017-12-15,      -4.380,
2018-01-15,      -5.871,
2018-02-15,       4.247,
2018-03-15,      -3.561,
2018-04-15,       0.674,
2018-05-15,      -2.131,
2018-06-15,       1.331,
2018-07-15,      -0.701,
2018-08-15,       1.005,
2018-09-15,      -0.931,
