DATE-YMD,OTHR= SeaWinds Windspeed u-EW-component (m/s),
2013-07-15,       1.318,
2013-08-15,       1.656,
2013-09-15,      -0.562,
2013-10-15,      -0.590,
2013-11-15,      -1.632,
2013-12-15,      -2.296,
2014-01-15,      -2.289,
2014-02-15,      -2.567,
2014-03-15,      -0.717,
2014-04-15,       0.189,
2014-05-15,       0.647,
2014-06-15,      -0.048,
2014-07-15,       0.889,
2014-08-15,       1.546,
2014-09-15,       0.583,
2014-10-15,       0.071,
2014-11-15,      -0.176,
2014-12-15,      -3.707,
2015-01-15,      -3.116,
2015-02-15,      -1.726,
2015-03-15,      -1.102,
2015-04-15,       0.253,
2015-05-15,      -0.094,
2015-06-15,      -0.132,
2015-07-15,       2.023,
2015-08-15,       0.811,
2015-09-15,       0.226,
2015-10-15,      -0.700,
2015-11-15,      -2.992,
2015-12-15,      -2.969,
2016-01-15,      -2.788,
2016-02-15,      -3.288,
2016-03-15,      -0.825,
2016-04-15,      -0.354,
2016-05-15,       0.240,
2016-06-15,       0.501,
2016-07-15,       1.351,
2016-08-15,       1.608,
2016-09-15,       0.076,
2016-10-15,      -0.556,
2016-11-15,      -1.519,
2016-12-15,      -3.530,
2017-01-15,      -3.020,
2017-02-15,      -1.699,
2017-03-15,      -0.907,
2017-04-15,      -0.114,
2017-05-15,       0.020,
2017-06-15,       0.360,
2017-07-15,       2.030,
2017-08-15,       1.458,
2017-09-15,       0.118,
2017-10-15,      -0.774,
2017-11-15,      -1.267,
2017-12-15,      -5.122,
2018-01-15,      -3.699,
2018-02-15,      -1.374,
2018-03-15,      -0.916,
2018-04-15,      -0.579,
2018-05-15,       0.222,
2018-06-15,       0.172,
2018-07-15,       1.060,
2018-08-15,       2.071,
2018-09-15,       0.271,
