DATE-YMD,OTHR= SeaWinds Windspeed v-NS-component (m/s),
2006-02-15,      -5.455,
2006-03-15,      -5.770,
2006-04-15,      -7.707,
2006-05-15,      -7.341,
2006-06-15,      -8.192,
2006-07-15,      -6.699,
2006-08-15,      -6.283,
2006-09-15,      -5.600,
2006-10-15,      -6.328,
2006-11-15,      -3.898,
2006-12-15,      -3.887,
2007-01-15,      -2.877,
2007-02-15,      -5.797,
2007-03-15,      -6.729,
2007-04-15,      -7.741,
2007-05-15,      -6.945,
2007-06-15,      -7.779,
2007-07-15,      -5.241,
2007-08-15,      -6.809,
2007-09-15,      -6.224,
2007-10-15,      -7.199,
2007-11-15,      -5.079,
2007-12-15,      -3.812,
2008-01-15,      -2.203,
2008-02-15,      -5.128,
2008-03-15,      -5.984,
2008-04-15,      -6.796,
2008-05-15,      -7.219,
2008-06-15,      -7.506,
2008-07-15,      -7.038,
2008-08-15,      -5.285,
2008-09-15,      -6.593,
2008-10-15,      -6.880,
2008-11-15,      -5.033,
2008-12-15,      -4.782,
2009-01-15,      -5.874,
2009-02-15,      -6.233,
2009-03-15,      -5.533,
2009-04-15,      -7.884,
2009-05-15,      -8.328,
2009-06-15,      -6.778,
2009-07-15,      -5.600,
2009-08-15,      -6.175,
2009-09-15,      -6.155,
2009-10-15,      -6.645,
2009-11-15,      -4.884,
2009-12-15,      -3.669,
2010-01-15,      -3.600,
2010-02-15,      -3.333,
2010-03-15,      -6.478,
2010-04-15,      -5.984,
2010-05-15,      -7.545,
2010-06-15,      -7.463,
2010-07-15,      -6.314,
2010-08-15,      -5.252,
2010-09-15,      -5.433,
2010-10-15,      -5.791,
2010-11-15,      -3.326,
2010-12-15,      -5.019,
2011-01-15,      -3.331,
2011-02-15,      -4.984,
2011-03-15,      -7.484,
2011-04-15,      -6.343,
2011-05-15,      -7.222,
2011-06-15,      -6.822,
2011-07-15,      -7.519,
2011-08-15,      -6.508,
2011-09-15,      -7.393,
2011-10-15,      -4.631,
2011-11-15,      -6.585,
2011-12-15,      -2.845,
2012-01-15,      -3.320,
2012-02-15,      -6.416,
2012-03-15,      -4.512,
2012-04-15,      -7.648,
2012-05-15,      -7.231,
2012-06-15,      -6.809,
2012-07-15,      -4.551,
2012-08-15,      -3.130,
2012-09-15,      -5.298,
2012-10-15,      -6.358,
2012-11-15,      -5.988,
2012-12-15,      -3.247,
2013-01-15,      -3.926,
2013-02-15,      -5.118,
2013-03-15,      -5.793,
2013-04-15,      -6.519,
2013-05-15,      -7.717,
2013-06-15,      -8.041,
2013-07-15,      -6.202,
2013-08-15,      -3.495,
2013-09-15,      -5.537,
2013-10-15,      -6.939,
2013-11-15,      -5.414,
2013-12-15,      -4.622,
2014-01-15,      -5.290,
2014-02-15,      -6.764,
2014-03-15,      -6.621,
2014-04-15,      -6.429,
2014-05-15,      -7.342,
2014-06-15,      -8.063,
2014-07-15,      -7.221,
2014-08-15,      -5.463,
2014-09-15,      -6.151,
2014-10-15,      -5.873,
2014-11-15,      -5.467,
2014-12-15,      -3.799,
2015-01-15,      -5.351,
2015-02-15,      -6.713,
2015-03-15,      -5.792,
2015-04-15,      -8.087,
2015-05-15,      -6.826,
2015-06-15,      -8.134,
2015-07-15,      -5.205,
2015-08-15,      -5.395,
2015-09-15,      -6.216,
2015-10-15,      -4.695,
2015-11-15,      -4.878,
2015-12-15,      -2.330,
2016-01-15,      -3.681,
2016-02-15,      -6.264,
2016-03-15,      -6.865,
2016-04-15,      -7.744,
2016-05-15,      -7.229,
2016-06-15,      -6.336,
2016-07-15,      -4.315,
2016-08-15,      -4.317,
2016-09-15,      -5.658,
2016-10-15,      -5.793,
2016-11-15,      -5.128,
2016-12-15,      -4.030,
2017-01-15,      -3.524,
2017-02-15,      -6.867,
2017-03-15,      -6.269,
2017-04-15,      -4.728,
2017-05-15,      -7.418,
2017-06-15,      -6.191,
2017-07-15,      -6.293,
2017-08-15,      -4.199,
2017-09-15,      -5.759,
2017-10-15,      -5.293,
2017-11-15,      -4.693,
2017-12-15,      -4.697,
2018-01-15,      -5.791,
2018-02-15,      -5.394,
2018-03-15,      -6.954,
2018-04-15,      -8.612,
2018-05-15,      -8.547,
2018-06-15,      -7.765,
2018-07-15,      -5.286,
2018-08-15,      -5.838,
2018-09-15,      -5.029,
