DATE-YMD,OTHR= SeaWinds scalar Windspeed (m/s),
2007-05-15,       8.847,
2007-06-15,       9.193,
2007-07-15,       8.279,
2007-08-15,       8.209,
2007-09-15,       6.797,
2007-10-15,       8.333,
2007-11-15,       6.321,
2007-12-15,       5.243,
2008-01-15,       5.085,
2008-02-15,       6.545,
2008-03-15,       7.120,
2008-04-15,       8.741,
2008-05-15,       9.019,
2008-06-15,       8.973,
2008-07-15,       7.813,
2008-08-15,       7.146,
2008-09-15,       7.570,
2008-10-15,       7.790,
2008-11-15,       6.226,
2008-12-15,       6.138,
2009-01-15,       7.204,
2009-02-15,       7.952,
2009-03-15,       7.517,
2009-04-15,       9.388,
2009-05-15,       9.574,
2009-06-15,       8.132,
2009-07-15,       7.127,
2009-08-15,       7.557,
2009-09-15,       7.229,
2009-10-15,       7.460,
2009-11-15,       6.378,
2010-03-15,       8.800,
2010-04-15,       7.100,
2010-07-15,       8.800,
2010-08-15,       7.900,
2010-09-15,       7.200,
2011-04-15,       6.400,
2011-05-15,       8.600,
2011-06-15,       8.281,
2011-07-15,       7.800,
2011-08-15,       5.581,
2011-09-15,       9.200,
2011-10-15,       5.449,
2011-11-15,       7.110,
2011-12-15,       4.318,
2012-01-15,       2.050,
2012-02-15,       9.033,
2012-03-15,       5.139,
2012-04-15,       8.361,
2012-05-15,       8.336,
2012-06-15,       7.450,
2012-07-15,       6.387,
2012-08-15,       6.493,
2012-09-15,      10.000,
2012-10-15,       4.800,
2012-11-15,       1.400,
2012-12-15,       3.075,
2013-01-15,       5.589,
2013-02-15,       3.665,
2013-03-15,       7.750,
2013-05-15,       9.917,
2013-06-15,       6.948,
2013-07-15,       7.600,
2013-08-15,       7.200,
2013-09-15,       7.985,
2013-11-15,       5.752,
2013-12-15,       5.712,
2014-01-15,       2.800,
2014-02-15,       5.600,
2014-03-15,       7.400,
2014-04-15,       5.678,
2014-05-15,       8.573,
2014-06-15,       6.933,
2014-08-15,       3.344,
2014-09-15,       4.767,
2014-10-15,       6.437,
2014-11-15,       5.067,
2014-12-15,       6.633,
2015-01-15,       7.130,
2015-03-15,       5.459,
2015-04-15,       8.683,
2015-05-15,       8.000,
2015-07-15,       7.223,
2015-08-15,       9.075,
2015-09-15,       4.400,
2015-10-15,       2.900,
2015-11-15,       7.988,
2015-12-15,       2.987,
2016-01-15,       2.049,
2016-02-15,       5.000,
2016-03-15,      10.176,
2016-04-15,       5.250,
2016-05-15,       8.400,
2016-07-15,       9.333,
2016-09-15,       6.752,
2016-10-15,       8.323,
2016-11-15,       4.400,
2016-12-15,       8.927,
2017-02-15,       8.000,
2017-03-15,      10.800,
2017-05-15,       7.223,
2017-06-15,       7.146,
2017-08-15,       3.148,
2017-11-15,      10.489,
2017-12-15,       5.962,
2018-01-15,       9.600,
2018-03-15,       9.800,
2018-06-15,       7.200,
2018-09-15,       5.400,
