DATE-YMD,OTHR= SeaWinds Windspeed v-NS-component (m/s),
2004-09-15,      -6.334,
2004-10-15,      -6.253,
2004-11-15,      -3.524,
2004-12-15,      -4.629,
2005-01-15,      -3.696,
2005-02-15,      -5.025,
2005-03-15,      -5.525,
2005-04-15,      -7.739,
2005-05-15,      -7.648,
2005-06-15,      -6.368,
2005-07-15,      -6.674,
2005-08-15,      -5.735,
2005-09-15,      -5.296,
2005-10-15,      -5.817,
2005-11-15,      -5.557,
2005-12-15,      -3.850,
2006-01-15,      -4.416,
2006-02-15,      -5.357,
2006-03-15,      -5.668,
2006-04-15,      -7.709,
2006-05-15,      -7.358,
2006-06-15,      -8.023,
2006-07-15,      -6.138,
2006-08-15,      -5.875,
2006-09-15,      -5.205,
2006-10-15,      -6.294,
2006-11-15,      -3.625,
2006-12-15,      -3.651,
2007-01-15,      -2.812,
2007-02-15,      -5.380,
2007-03-15,      -6.584,
2007-04-15,      -7.712,
2007-05-15,      -7.003,
2007-06-15,      -7.758,
2007-07-15,      -5.040,
2007-08-15,      -6.170,
2007-09-15,      -5.862,
2007-10-15,      -7.158,
2007-11-15,      -4.974,
2007-12-15,      -3.620,
2008-01-15,      -2.098,
2008-02-15,      -5.112,
2008-03-15,      -5.889,
2008-04-15,      -6.834,
2008-05-15,      -7.093,
2008-06-15,      -7.177,
2008-07-15,      -6.272,
2008-08-15,      -4.361,
2008-09-15,      -6.262,
2008-10-15,      -6.706,
2008-11-15,      -4.918,
2008-12-15,      -4.656,
2009-01-15,      -5.623,
2009-02-15,      -6.454,
2009-03-15,      -5.697,
2009-04-15,      -7.822,
2009-05-15,      -8.291,
2009-06-15,      -6.864,
2009-07-15,      -4.948,
2009-08-15,      -5.319,
2009-09-15,      -5.603,
2009-10-15,      -6.581,
2009-11-15,      -4.533,
2009-12-15,      -3.500,
2010-01-15,      -3.478,
2010-02-15,      -3.522,
2010-03-15,      -6.398,
2010-04-15,      -6.028,
2010-05-15,      -7.360,
2010-06-15,      -7.085,
2010-07-15,      -5.779,
2010-08-15,      -4.567,
2010-09-15,      -5.038,
2010-10-15,      -5.745,
2010-11-15,      -3.226,
2010-12-15,      -5.170,
2011-01-15,      -3.364,
2011-02-15,      -4.686,
2011-03-15,      -7.497,
2011-04-15,      -6.517,
2011-05-15,      -7.294,
2011-06-15,      -6.591,
2011-07-15,      -6.991,
2011-08-15,      -5.901,
2011-09-15,      -6.952,
2011-10-15,      -3.944,
2011-11-15,      -5.835,
2011-12-15,      -2.399,
2012-01-15,      -2.956,
2012-02-15,      -5.635,
2012-03-15,      -4.083,
2012-04-15,      -7.111,
2012-05-15,      -6.595,
2012-06-15,      -5.882,
2012-07-15,      -3.020,
2012-08-15,      -1.977,
2012-09-15,      -4.073,
2012-10-15,      -5.639,
2012-11-15,      -5.616,
2012-12-15,      -2.897,
2013-01-15,      -3.384,
2013-02-15,      -4.533,
2013-03-15,      -5.403,
2013-04-15,      -6.232,
2013-05-15,      -7.139,
2013-06-15,      -7.502,
2013-07-15,      -4.667,
2013-08-15,      -2.286,
2013-09-15,      -4.044,
2013-10-15,      -5.669,
2013-11-15,      -4.772,
2013-12-15,      -4.146,
2014-01-15,      -4.985,
2014-02-15,      -5.817,
2014-03-15,      -5.876,
2014-04-15,      -6.088,
2014-05-15,      -7.016,
2014-06-15,      -7.553,
2014-07-15,      -5.864,
2014-08-15,      -3.299,
2014-09-15,      -4.685,
2014-10-15,      -5.282,
2014-11-15,      -4.808,
2014-12-15,      -3.388,
2015-01-15,      -4.477,
2015-02-15,      -6.023,
2015-03-15,      -4.982,
2015-04-15,      -7.544,
2015-05-15,      -5.904,
2015-06-15,      -7.540,
2015-07-15,      -3.636,
2015-08-15,      -3.686,
2015-09-15,      -5.227,
2015-10-15,      -4.442,
2015-11-15,      -4.241,
2015-12-15,      -1.965,
2016-01-15,      -3.232,
2016-02-15,      -5.403,
2016-03-15,      -6.209,
2016-04-15,      -7.452,
2016-05-15,      -7.287,
2016-06-15,      -5.363,
2016-07-15,      -3.304,
2016-08-15,      -3.298,
2016-09-15,      -3.764,
2016-10-15,      -5.767,
2016-11-15,      -4.725,
2016-12-15,      -3.783,
2017-01-15,      -3.133,
2017-02-15,      -6.395,
2017-03-15,      -5.945,
2017-04-15,      -4.516,
2017-05-15,      -7.276,
2017-06-15,      -5.862,
2017-07-15,      -4.987,
2017-08-15,      -3.669,
2017-09-15,      -4.844,
2017-10-15,      -4.766,
2017-11-15,      -4.161,
2017-12-15,      -4.471,
2018-01-15,      -5.406,
2018-02-15,      -5.127,
2018-03-15,      -6.416,
2018-04-15,      -8.142,
2018-05-15,      -8.142,
2018-06-15,      -7.136,
2018-07-15,      -3.481,
2018-08-15,      -4.615,
2018-09-15,      -3.610,
