"Year","Temperature","Net_Primary_Production","Sea_Surface_Salinity","Chlorophyll","Currents","Windspeed"
"2017-06-15",22.952,899.814,35.945,3.1875,NA,2.762
"2017-07-15",24.1625,215.56,36.057,3.739,NA,15.9
"2017-09-15",25.397,1193.206,36.114,3.2945,NA,NA
"2017-10-15",25.822,1729.107,36.079,3.457,NA,NA
"2017-11-15",24.7525,829.565,36.151,3.3225,NA,1.46433333333333
"2017-12-15",20.546,660.986,36.185,3.386,NA,-0.441666666666667
"2018-01-15",17.926,526.679,36.004,2.985,NA,0.520666666666667
"2018-02-15",18.205,568.419,35.937,2.3435,NA,NA
"2018-03-15",20.342,636.121,35.99,1.976,NA,-0.371
"2018-04-15",19.8245,930.244,35.962,2.632,NA,NA
"2018-05-15",20.493,1063.305,35.88,2.819,NA,NA
"2018-06-15",21.193,334.964,35.961,3.4805,NA,-0.128333333333333
"2018-08-15",25.2225,1210.887,36.025,5.864,NA,NA
"2018-09-15",25.8125,1717.354,35.947,5.002,NA,-0.636
"2018-10-15",25.254,819.387,36.002,4.427,NA,NA
"2018-11-15",21.946,614.82,35.978,5.4895,NA,NA
"2018-12-15",20.2125,50.725,35.89,7.417,NA,NA
"2019-01-15",18.924,131.487,35.944,3.8545,NA,NA
"2019-02-15",19.1425,202.712,36.027,3.3485,NA,NA
"2019-03-15",20.0855,240.558,35.979,2.5985,NA,NA
"2019-04-15",20.4555,416.162,35.945,2.7525,NA,NA
"2019-05-15",21.0405,340.461,35.977,3.6755,NA,NA
"2019-06-15",22.244,252.845,36.03,5.7705,NA,NA
"2019-07-15",23.3985,94.264,36.027,4.614,NA,NA
"2019-09-15",26.3475,513.403,36.136,3.4795,NA,NA
"2019-10-15",25.149,217.819,36.057,4.7945,NA,NA
"2019-11-15",23.0015,191.058,35.924,5.6765,NA,NA
"2019-12-15",20.229,117.035,36.017,5.7995,NA,NA
"2020-01-15",18.593,73.246,35.978,4.498,NA,NA
"2020-02-15",20.212,281.74,35.943,3.3335,NA,NA
"2020-03-15",20.742,392.457,35.995,2.906,NA,NA
"2020-04-15",21.428,998.069,36.024,2.732,NA,NA
"2020-05-15",21.7365,406.393,35.985,3.051,NA,NA
"2020-07-15",25.41,1406.144,35.913,5.797,NA,NA
"2020-09-15",27.679,NA,36.072,4.916,NA,NA
"2020-10-15",25.9455,188.975,36.269,4.1285,NA,NA
"2020-11-15",23.458,220.394,36.379,3.743,NA,NA
"2020-12-15",21.2055,247.923,36.209,3.3935,NA,NA
"2021-01-15",19.3205,NA,36.138,3.1055,NA,NA
"2021-02-15",18.994,NA,36.188,2.5195,NA,NA
"2021-03-15",19.591,NA,36.217,2.479,NA,NA
"2021-04-15",20.833,NA,36.155,2.5385,NA,NA
"2021-05-15",21.0255,NA,36.148,2.843,NA,NA
"2021-08-15",25.6165,NA,36.122,5.074,NA,NA
"2021-09-15",26.14,NA,36.181,5.063,NA,NA
"2021-10-15",25.962,NA,36.216,4.4265,NA,NA
"2021-11-15",23.4125,NA,36.142,3.707,NA,NA
"2021-12-15",20.832,NA,36.159,4.789,NA,NA
"2002-06-15",21.4455,111.788,36.044,6.797,-0.104,0.376
"2002-08-15",24.046,444.991,36.134,12.47,0.0245,0.723666666666667
"2003-07-15",24.1035,1173.372,36.205,10.025,0.179,1.719
"2005-07-15",24.345,196.314,36.131,8.499,0.0295,1.87775
"2006-07-15",23.691,358.894,36.081,8.682,-0.012,1.43866666666667
"2008-07-15",24.775,207.935,35.829,7.193,NA,1.29666666666667
"2009-06-15",21.902,167.125,36.021,5.576,-0.0235,0.555
"2010-07-15",23.9355,114.085,36.364,15.458,-0.105,7.21975
"2011-07-15",24.1035,24.717,36.355,7.494,0.029,1.674
"2012-07-15",24.064,191.682,36.147,6.125,0.097,3.36533333333333
"2012-08-15",26.8165,13.044,36.12,6.701,-0.3955,3.17275
"2013-06-15",21.5325,438.472,36.022,3.204,-0.006,3.7235
"2013-07-15",24.331,442.648,36.175,3.279,-0.0725,5.358
"2014-06-15",21.6795,694.379,35.73,2.526,NA,0.533333333333333
"2014-09-15",26.4165,1409.901,36.148,3.006,NA,2.599
"2015-09-15",27.3445,253.165,36.162,2.933,NA,2.29675
"2016-07-15",23.613,1132.679,35.953,3.716,NA,3.23633333333333
"2017-08-15",26.3655,954.007,36.054,3.508,NA,1.41166666666667
"2018-07-15",22.837,224.984,35.979,6.438,NA,NA
"2019-08-15",24.74,158.574,36.104,3.207,NA,NA
"2020-06-15",22.8015,672.695,35.957,4.413,NA,NA
"2020-08-15",25.9255,NA,36.007,5.829,NA,NA
"2021-06-15",21.5835,NA,36.16,4.065,NA,NA
"2021-07-15",23.44,NA,36.036,4.835,NA,NA
"1900-01-15",20.03,NA,NA,NA,NA,NA
"1900-02-15",19.2,NA,NA,NA,NA,NA
"1900-03-15",19.28,NA,NA,NA,NA,NA
"1900-04-15",18.74,NA,NA,NA,NA,NA
"1900-05-15",18.68,NA,NA,NA,NA,NA
"1900-06-15",19.59,NA,NA,NA,NA,NA
"1900-07-15",22.01,NA,NA,NA,NA,NA
"1900-08-15",23.77,NA,NA,NA,NA,NA
"1900-09-15",24.01,NA,NA,NA,NA,NA
"1900-10-15",23.13,NA,NA,NA,NA,NA
"1900-11-15",22.01,NA,NA,NA,NA,NA
"1900-12-15",19.97,NA,NA,NA,NA,NA
"1901-01-15",19.02,NA,NA,NA,NA,NA
"1901-02-15",19.06,NA,NA,NA,NA,NA
"1901-03-15",19.39,NA,NA,NA,NA,NA
"1901-04-15",19.23,NA,NA,NA,NA,NA
"1901-05-15",19.59,NA,NA,NA,NA,NA
"1901-06-15",20.3,NA,NA,NA,NA,NA
"1901-07-15",23.08,NA,NA,NA,NA,NA
"1901-08-15",24.36,NA,NA,NA,NA,NA
"1901-09-15",24.5,NA,NA,NA,NA,NA
"1901-10-15",23.23,NA,NA,NA,NA,NA
"1901-11-15",21.89,NA,NA,NA,NA,NA
"1901-12-15",20.69,NA,NA,NA,NA,NA
"1902-01-15",19.48,NA,NA,NA,NA,NA
"1902-02-15",19.03,NA,NA,NA,NA,NA
"1902-03-15",19.28,NA,NA,NA,NA,NA
"1902-04-15",18.95,NA,NA,NA,NA,NA
"1902-05-15",19.09,NA,NA,NA,NA,NA
"1902-06-15",19.87,NA,NA,NA,NA,NA
"1902-07-15",22.03,NA,NA,NA,NA,NA
"1902-08-15",24.24,NA,NA,NA,NA,NA
"1902-09-15",24.78,NA,NA,NA,NA,NA
"1902-10-15",23.59,NA,NA,NA,NA,NA
"1902-11-15",22.18,NA,NA,NA,NA,NA
"1902-12-15",20.61,NA,NA,NA,NA,NA
"1903-01-15",19.41,NA,NA,NA,NA,NA
"1903-02-15",19.02,NA,NA,NA,NA,NA
"1903-03-15",18.11,NA,NA,NA,NA,NA
"1903-04-15",19.45,NA,NA,NA,NA,NA
"1903-05-15",18.5,NA,NA,NA,NA,NA
"1903-06-15",20.02,NA,NA,NA,NA,NA
"1903-07-15",22.2,NA,NA,NA,NA,NA
"1903-08-15",24,NA,NA,NA,NA,NA
"1903-09-15",23.72,NA,NA,NA,NA,NA
"1903-10-15",22.87,NA,NA,NA,NA,NA
"1903-11-15",22.07,NA,NA,NA,NA,NA
"1903-12-15",20.3,NA,NA,NA,NA,NA
"1904-01-15",18.51,NA,NA,NA,NA,NA
"1904-02-15",18.39,NA,NA,NA,NA,NA
"1904-03-15",18.85,NA,NA,NA,NA,NA
"1904-04-15",18.44,NA,NA,NA,NA,NA
"1904-05-15",18.49,NA,NA,NA,NA,NA
"1904-06-15",20.2,NA,NA,NA,NA,NA
"1904-07-15",22.09,NA,NA,NA,NA,NA
"1904-08-15",25.01,NA,NA,NA,NA,NA
"1904-09-15",24.91,NA,NA,NA,NA,NA
"1904-10-15",23.98,NA,NA,NA,NA,NA
"1904-11-15",22.93,NA,NA,NA,NA,NA
"1904-12-15",20.96,NA,NA,NA,NA,NA
"1905-01-15",19.3,NA,NA,NA,NA,NA
"1905-02-15",18.21,NA,NA,NA,NA,NA
"1905-03-15",18.62,NA,NA,NA,NA,NA
"1905-04-15",18.8,NA,NA,NA,NA,NA
"1905-05-15",19.01,NA,NA,NA,NA,NA
"1905-06-15",20.13,NA,NA,NA,NA,NA
"1905-07-15",22.08,NA,NA,NA,NA,NA
"1905-08-15",25.06,NA,NA,NA,NA,NA
"1905-09-15",24.69,NA,NA,NA,NA,NA
"1905-10-15",23.8,NA,NA,NA,NA,NA
"1905-11-15",21.96,NA,NA,NA,NA,NA
"1905-12-15",19.99,NA,NA,NA,NA,NA
"1906-01-15",19.57,NA,NA,NA,NA,NA
"1906-02-15",18.25,NA,NA,NA,NA,NA
"1906-03-15",18.35,NA,NA,NA,NA,NA
"1906-04-15",18.91,NA,NA,NA,NA,NA
"1906-05-15",19.02,NA,NA,NA,NA,NA
"1906-06-15",21.23,NA,NA,NA,NA,NA
"1906-07-15",23.88,NA,NA,NA,NA,NA
"1906-08-15",25.72,NA,NA,NA,NA,NA
"1906-09-15",25.63,NA,NA,NA,NA,NA
"1906-10-15",24,NA,NA,NA,NA,NA
"1906-11-15",22.66,NA,NA,NA,NA,NA
"1906-12-15",21.32,NA,NA,NA,NA,NA
"1907-01-15",19.19,NA,NA,NA,NA,NA
"1907-02-15",17.98,NA,NA,NA,NA,NA
"1907-03-15",17.93,NA,NA,NA,NA,NA
"1907-04-15",18.25,NA,NA,NA,NA,NA
"1907-05-15",19.07,NA,NA,NA,NA,NA
"1907-06-15",19.96,NA,NA,NA,NA,NA
"1907-07-15",22.45,NA,NA,NA,NA,NA
"1907-08-15",24.18,NA,NA,NA,NA,NA
"1907-09-15",25.19,NA,NA,NA,NA,NA
"1907-10-15",23.88,NA,NA,NA,NA,NA
"1907-11-15",21.99,NA,NA,NA,NA,NA
"1907-12-15",20.3,NA,NA,NA,NA,NA
"1908-01-15",18.67,NA,NA,NA,NA,NA
"1908-02-15",18.09,NA,NA,NA,NA,NA
"1908-03-15",17.84,NA,NA,NA,NA,NA
"1908-04-15",17.94,NA,NA,NA,NA,NA
"1908-05-15",18.54,NA,NA,NA,NA,NA
"1908-06-15",19.93,NA,NA,NA,NA,NA
"1908-07-15",22.36,NA,NA,NA,NA,NA
"1908-08-15",24.02,NA,NA,NA,NA,NA
"1908-09-15",24.91,NA,NA,NA,NA,NA
"1908-10-15",23.71,NA,NA,NA,NA,NA
"1908-11-15",23.38,NA,NA,NA,NA,NA
"1908-12-15",21.81,NA,NA,NA,NA,NA
"1909-01-15",19.24,NA,NA,NA,NA,NA
"1909-02-15",18.5,NA,NA,NA,NA,NA
"1909-03-15",18.93,NA,NA,NA,NA,NA
"1909-04-15",19.09,NA,NA,NA,NA,NA
"1909-05-15",19.78,NA,NA,NA,NA,NA
"1909-06-15",20.24,NA,NA,NA,NA,NA
"1909-07-15",22.7,NA,NA,NA,NA,NA
"1909-08-15",25.37,NA,NA,NA,NA,NA
"1909-09-15",25.12,NA,NA,NA,NA,NA
"1909-10-15",24.19,NA,NA,NA,NA,NA
"1909-11-15",22.78,NA,NA,NA,NA,NA
"1909-12-15",21.51,NA,NA,NA,NA,NA
"1910-01-15",19.48,NA,NA,NA,NA,NA
"1910-02-15",18.16,NA,NA,NA,NA,NA
"1910-03-15",17.81,NA,NA,NA,NA,NA
"1910-04-15",18.58,NA,NA,NA,NA,NA
"1910-05-15",18.84,NA,NA,NA,NA,NA
"1910-06-15",19.44,NA,NA,NA,NA,NA
"1910-07-15",22.17,NA,NA,NA,NA,NA
"1910-08-15",24.49,NA,NA,NA,NA,NA
"1910-09-15",26.2,NA,NA,NA,NA,NA
"1910-10-15",24.64,NA,NA,NA,NA,NA
"1910-11-15",24.07,NA,NA,NA,NA,NA
"1910-12-15",20.96,NA,NA,NA,NA,NA
"1911-01-15",18.71,NA,NA,NA,NA,NA
"1911-02-15",17.95,NA,NA,NA,NA,NA
"1911-03-15",17.83,NA,NA,NA,NA,NA
"1911-04-15",19.13,NA,NA,NA,NA,NA
"1911-05-15",19.12,NA,NA,NA,NA,NA
"1911-06-15",19.43,NA,NA,NA,NA,NA
"1911-07-15",21.93,NA,NA,NA,NA,NA
"1911-08-15",24.13,NA,NA,NA,NA,NA
"1911-09-15",25.16,NA,NA,NA,NA,NA
"1911-10-15",24.08,NA,NA,NA,NA,NA
"1911-11-15",22.36,NA,NA,NA,NA,NA
"1911-12-15",20.78,NA,NA,NA,NA,NA
"1912-01-15",19.8,NA,NA,NA,NA,NA
"1912-02-15",19.54,NA,NA,NA,NA,NA
"1912-03-15",19.6,NA,NA,NA,NA,NA
"1912-04-15",19.24,NA,NA,NA,NA,NA
"1912-05-15",19.36,NA,NA,NA,NA,NA
"1912-06-15",20.26,NA,NA,NA,NA,NA
